boat_items
;
model,category,description;
"FY550,FLYBRIDGE,""Display touchscreen multifuncional de navegação repetidor (GPS / Chartplotter, dados de motor e da embarcação) Simrad, 1 tela de 12”""";
FY550,FLYBRIDGE,Segunda estação de comando equipada com instrumentos e alarmes;
FY550,FLYBRIDGE,Tomada 12v;
FY550,FLYBRIDGE,Repetidor VHF;
FY550,FLYBRIDGE,Som Hi-FI a prova d’água DECK INFERIOR Corredor;
FY550,Corredor,Carpete;
FY550,Corredor,Degraus cobertos de madeira;
FY550,Corredor,Armário debaixo da escada;
FY550,Corredor,Guarda-roupas com gavetas CABINE MASTER;
FY550,CABINE MASTER,Área de “dinette” (sofá de dois lugares com mesa);
FY550,CABINE MASTER,Criado mudo (2) com gaveta;
FY550,CABINE MASTER,Armário com prateleiras;
"FY550,CABINE MASTER,""Cama de casal com colchão, travesseiro e jogo de cama""";
"FY550,CABINE MASTER,""Penteadeira com espelho, prateleiras e puff""";
FY550,CABINE MASTER,Carpete;
FY550,CABINE MASTER,(2) janelas laterais com persianas e vigias de aço inox;
FY550,CABINE MASTER,Mini som HI-FI;
FY550,CABINE MASTER,Ventilação natural debaixo da cama;
FY550,CABINE MASTER,(2) Luzes de leitura;
FY550,CABINE MASTER,Cabeceira de cama acolchoada;
"FY550,CABINE MASTER,""Guarda-roupas (2, um com cabideiro, espelho)""";
FY550,CABINE MASTER,Saída de ar-condicionado WC CABINE MASTER;
FY550,WC CABINE MASTER,Vaso sanitário elétrico (água doce);
FY550,WC CABINE MASTER,Persianas;
FY550,WC CABINE MASTER,Janela de casco com vigia de aço inox;
FY550,WC CABINE MASTER,Armário com prateleiras;
FY550,WC CABINE MASTER,Espelho;
FY550,WC CABINE MASTER,Chuveiro com box de vidro temperado;
FY550,WC CABINE MASTER,Pia com bancada laqueada;
FY550,WC CABINE MASTER,Painel de controle do vaso;
FY550,WC CABINE MASTER,Piso de madeira CABINE VIP;
"FY550,CABINE VIP,""Cama de casal com colchão, travesseiro e jogo de cama""";
FY550,CABINE VIP,Gaveteiro debaixo da cama;
FY550,CABINE VIP,Gaiuta de escape;
FY550,CABINE VIP,Carpete;
FY550,CABINE VIP,(2) Janelas de costado com vigia de aço inox;
FY550,CABINE VIP,Espelho;
FY550,CABINE VIP,Ventilação natural debaixo da cama;
FY550,CABINE VIP,(2) Luzes de leitura;
FY550,CABINE VIP,Prateleiras;
FY550,CABINE VIP,Cabeceira de cama acolchoada;
FY550,CABINE VIP,Guarda-roupas com espelho no interior;
FY550,CABINE VIP,Saída de ar-condicionado WC VIP;
FY550,WC VIP,Vaso sanitário cerâmico elétrico;
FY550,WC VIP,Persianas;
FY550,WC VIP,Janela de costado com vigia de aço inox;
FY550,WC VIP,Armário;
FY550,WC VIP,Espelhos;
FY550,WC VIP,Chuveiro com box redondo de Plexiglass;
