boat_items
;
model,category,description;
FY670,Banheiro Master,WC elétrico;
FY670,Banheiro Master,Persianas;
FY670,Banheiro Master,Janela do casco com escotilha de aço inoxidável que pode ser aberta;
FY670,Banheiro Master,Armários;
"FY670,Banheiro Master,""Chuveiro com porta de vidro temperado, banco de madeira, escotilha de abrir de aço inoxidável""";
FY670,Banheiro Master,Bancada em Corian;
FY670,Banheiro Master,Painel de controle do WC;
FY670,Banheiro Master,Piso de madeira Cabine VIP na proa;
"FY670,Cabine VIP na proa,""Cama de casal com colchão, travesseiros e colcha""";
FY670,Cabine VIP na proa,Gavetas embaixo da cama;
FY670,Cabine VIP na proa,Escotilha de escape;
FY670,Cabine VIP na proa,Carpete;
FY670,Cabine VIP na proa,Janelas do casco (2) com escotilhas de aço inoxidável que podem ser abertas;
FY670,Cabine VIP na proa,Espelho;
FY670,Cabine VIP na proa,Luzes de leitura (2);
FY670,Cabine VIP na proa,Persiana romana;
FY670,Cabine VIP na proa,Prateleiras;
FY670,Cabine VIP na proa,Cabeceira estofada;
FY670,Cabine VIP na proa,Roupeiros (2) com espelho Banheiro da cabine VIP;
FY670,Banheiro da cabine VIP,WC elétrico;
FY670,Banheiro da cabine VIP,Persianas;
FY670,Banheiro da cabine VIP,Janela do casco com escotilha de aço inoxidável que pode ser aberta;
FY670,Banheiro da cabine VIP,Armário;
FY670,Banheiro da cabine VIP,Espelho;
FY670,Banheiro da cabine VIP,Chuveiro com porta de vidro temperado;
FY670,Banheiro da cabine VIP,Bancada em Corian;
FY670,Banheiro da cabine VIP,Painel de controle do WC;
FY670,Banheiro da cabine VIP,Piso de madeira Cabine de hóspedes;
"FY670,Cabine de hóspedes,""Camas (2) com colchões, travesseiros e colchas""";
FY670,Cabine de hóspedes,Mesa de cabeceira com gaveta;
FY670,Cabine de hóspedes,Gaveta embaixo da cama;
FY670,Cabine de hóspedes,Carpete;
FY670,Cabine de hóspedes,Janela do casco com escotilha de abrir em aço inoxidável;
FY670,Cabine de hóspedes,Espelho;
FY670,Cabine de hóspedes,Luzes de leitura (2);
FY670,Cabine de hóspedes,Persiana romana (solteiro);
FY670,Cabine de hóspedes,Cabeceira estofada;
FY670,Cabine de hóspedes,Guarda-roupa com espelho Banheiro de hóspedes;
FY670,Cabine de hóspedes,WC elétrico;
FY670,Cabine de hóspedes,Persiana;
FY670,Cabine de hóspedes,Janela do casco com escotilha de aço inoxidável que pode ser aberta;
FY670,Cabine de hóspedes,Armário;
FY670,Cabine de hóspedes,Espelho;
FY670,Cabine de hóspedes,Chuveiro com porta de vidro temperado;
FY670,Cabine de hóspedes,Pia em Corian;
FY670,Cabine de hóspedes,Painel de controle do WC;
FY670,Cabine de hóspedes,Piso de madeira ÁREA DA TRIPULAÇÃO Lobby da área da tripulação;
FY670,Lobby da área da tripulação,Acesso ao deck principal;
FY670,Lobby da área da tripulação,Painel elétrico para corrente alternada e contínua;
FY670,Lobby da área da tripulação,Área de armazenamento Banheiro da tripulação;
FY670,Banheiro da tripulação,WC com água doce;
FY670,Banheiro da tripulação,Armários;
FY670,Banheiro da tripulação,Espelho;
FY670,Banheiro da tripulação,Chuveiro com cortinas impermeáveis;
FY670,Banheiro da tripulação,Escotilha de abrir em aço inoxidável;
FY670,Banheiro da tripulação,Pia com água doce quente/fria Cabine da tripulação;
"FY670,Cabine da tripulação,""Cama com colchão, travesseiro e colcha""";
FY670,Cabine da tripulação,Mesa de cabeceira;
FY670,Cabine da tripulação,Gabinete com armários;
FY670,Cabine da tripulação,Tapete embutido;
FY670,Cabine da tripulação,Escotilha de abrir em aço inoxidável;
FY670,Cabine da tripulação,Guarda-roupa ÁREA TÉCNICA;
FY670,ÁREA TÉCNICA,Sala de máquinas;
FY670,ÁREA TÉCNICA,Acesso ao cockpit através de uma escotilha e uma escada de aço inoxidável e teca;
FY670,ÁREA TÉCNICA,Entradas de ar com separador (2);
FY670,ÁREA TÉCNICA,Válvulas de mudança (2) para bombeamento de emergência de água do porão Bomba de esgoto elétrica;
FY670,ÁREA TÉCNICA,Ventilador elétrico (2);
FY670,ÁREA TÉCNICA,Sistema de extinção de incêndio com controle manual/automático;
FY670,ÁREA TÉCNICA,Saída de água doce para enchimento e lavagem;
FY670,ÁREA TÉCNICA,Indicadores de níveis do tanque de combustível;
"FY670,ÁREA TÉCNICA,""Gerador 120/240V 21,5kW 60Hz""";
FY670,ÁREA TÉCNICA,Tanque de combustível GRP (3830lt.) com tanque de decantação e descarga;
FY670,ÁREA TÉCNICA,Lâmpada portátil;
FY670,ÁREA TÉCNICA,Filtros de motores Racor;
FY670,ÁREA TÉCNICA,Pré-filtro de combustível Racor para gerador;
FY670,ÁREA TÉCNICA,Filtro de água para o sistema de refrigeração do gerador;
FY670,ÁREA TÉCNICA,Filtros de água (2) para o sistema de arrefecimento do motor;
FY670,ÁREA TÉCNICA,Antepara dianteira estanque;
FY670,ÁREA TÉCNICA,Piso de madeira com superfície antiderrapante EQUIPAMENTO DE PROPULSÃO E CONTROLE;
FY670,EQUIPAMENTO DE PROPULSÃO E CONTROLE,Propulsão e controle;
"FY670,EQUIPAMENTO DE PROPULSÃO E CONTROLE,""Bow thruster (13,4 Hp)""";
FY670,EQUIPAMENTO DE PROPULSÃO E CONTROLE,Direção eletro-hidráulica;
FY670,EQUIPAMENTO DE PROPULSÃO E CONTROLE,Escapes silenciados;
"FY670,EQUIPAMENTO DE PROPULSÃO E CONTROLE,""Caixa de contenção com vedação do eixo sem gotejamento, baixa manutenção Transmissão V-Drive Sistemas de estabilização""";
FY670,Sistemas de estabilização,Interceptores EQUIPAMENTO ELETRÔNICO Comunicação;
FY670,Comunicação,Roteador de modem de Internet Wi-Fi;
FY670,Comunicação,VHF (2) Sistema de monitoramento;
FY670,Sistema de monitoramento,Tela de sistema de monitoramento integrado (integrado com sistema de navegação) Navegação;
FY670,Navegação,Unidade de controle do piloto automático (posição principal do leme);
"FY670,Navegação,""Tela de toque multifuncional para sistema de navegação (radar, plotter cartográfico, GPS, sondas) e repetidor""";
"FY670,Navegação,""Tela de toque multifuncional para sistema de navegação (radar, plotter cartográfico, GPS, sonda, dados dos motores) (3)""";
FY670,Navegação,Radar integrado com sistema de navegação SISTEMAS Sistema de extinção de incêndio Sistema de extinção de incêndio FM200;
FY670,Sistema de extinção de incêndio Sistema de extinção de incêndio FM200,FIREBOY na casa de máquinas com controle automático/manual;
FY670,Sistema de extinção de incêndio Sistema de extinção de incêndio FM200,Extintores de incêndio portáteis;
"FY670,Sistema de extinção de incêndio Sistema de extinção de incêndio FM200,""Alavanca de emergência na sala de máquinas (desligar motor e gerador, ativação de sistema de extinção de incêndio)""";
FY670,Sistema de extinção de incêndio Sistema de extinção de incêndio FM200,Sistema de alarme de detecção de fumaça Sistema elétrico;
"FY670,Sistema elétrico,""Carregador automático de bateria (24V) para baterias de serviço auxiliares, carga da bateria do motor reduzida""";
FY670,Sistema elétrico,Carregador de bateria para gerador;
FY670,Sistema elétrico,Chaves de desconexão da bateria: mecânica (sala de máquinas) e eletrônica (cockpit);
FY670,Sistema elétrico,Caixa do disjuntor;
FY670,Sistema elétrico,Chave Carling 100A para 240V;
FY670,Sistema elétrico,Proteção catódica com ânodos de zinco;
FY670,Sistema elétrico,Tomadas internas duplas de 120V em cada caixa;
FY670,Sistema elétrico,Bateria de partida do gerador 24V (baixa perda de água);
FY670,Sistema elétrico,Ligação com terra para entrada de água do mar e grades;
FY670,Sistema elétrico,Interruptores de falha de aterramento (soquetes);
FY670,Sistema elétrico,Grupo de baterias de serviço auxiliar de 24V;
FY670,Sistema elétrico,Grupo de baterias de 24V para bow thruster;
FY670,Sistema elétrico,Grupo de baterias de baixa perda de água de 24V para partida do motor;
FY670,Sistema elétrico,Transformador de isolamento 25kVA;
FY670,Sistema elétrico,Iluminação LED em 24V;
FY670,Sistema elétrico,Chave de desconexão manual da bateria para gerador;
FY670,Sistema elétrico,Instrumentos de medição;
FY670,Sistema elétrico,Voltímetro;
FY670,Sistema elétrico,Mecânico (cockpit) e instantâneo (posição principal do leme) chave paralela de bateria elétrica;
FY670,Sistema elétrico,Predisposição para TV + sistema decodificador em todas cabines: cabo 120V + conector F + cabos de antena de TV;
FY670,Sistema elétrico,Tomada de cais (63A 230V);
FY670,Sistema elétrico,Tomada de cais 100A 60Hz;
"FY670,Sistema elétrico,""Interruptor de tomada de cais 100A 30mA, com proteção contra falha de aterramento Sistema de porão""";
"FY670,Sistema de porão,""Bomba de esgoto elétrica (casa de máquinas, espaço de acomodação)""";
FY670,Sistema de porão,Tubo de sucção de esgoto de emergência (sala de máquinas) através da bomba de arrefecimento do motor Sistemas sanitários e de água;
FY670,Sistemas sanitários e de água,Sistema de águas negras com tanque e deck conexão para bombeamento do tanque;
FY670,Sistemas sanitários e de água,Sistema de WC elétrico com água doce;
FY670,Sistemas sanitários e de água,Bomba autoclave de água doce (24V) com controle eletrônico;
FY670,Sistemas sanitários e de água,Tanque de água doce (1.000lt);
FY670,Sistemas sanitários e de água,Sistema de água cinza com tanque;
FY670,Sistemas sanitários e de água,Entrada de água do mar independente para ar condicionado com filtro;
FY670,Sistemas sanitários e de água,Captação independente de água do mar para sistema de água do mar com filtro;
FY670,Sistemas sanitários e de água,Entrada independente de água do mar para dessalinizador com filtro;
FY670,Sistemas sanitários e de água,Bomba de autoclave de água do mar para limpeza e combate a incêndio com mangueira na proa;
FY670,Sistemas sanitários e de água,Válvula de 3 vias na cozinha;
"FY670,Sistemas sanitários e de água,""Aquecedor de água (230V, 60lt) Sistema de ar condicionado""";
FY670,Sistema de ar condicionado,Sistema de ar condicionado em cabines (banheiros inclusos);
FY670,Sistema de ar condicionado,Estabilizadores Seakeeper 2x NG6;
FY670,Sistema de ar condicionado,Ar condicionado Tropical 72.000 BTU;
FY670,Sistema de ar condicionado,Gerador Onan 19kw;
FY670,Sistema de ar condicionado,Passarela de embarque com revestimento em teca;
FY670,Sistema de ar condicionado,Porta estanque para acesso a sala de máquinas pela cabine marinheiro;
FY670,Sistema de ar condicionado,Entrada para abastecimento de água doce;
FY670,Sistema de ar condicionado,Hard top em fibra de vidro;
FY670,Sistema de ar condicionado,Sistema de sombreamento com postes de carbono para dinette de proa;
FY670,Sistema de ar condicionado,Revestimento em teca na proa e nos passadiços;
FY670,Sistema de ar condicionado,Revestimento em teca na plataforma de banho;
FY670,Sistema de ar condicionado,Revestimento em teca no flybridge;
FY670,Sistema de ar condicionado,Luzes de cortesia para áreas externas;
"FY670,Sistema de ar condicionado,""Mesas em teca na proa, conversíveis em solário""";
FY670,Sistema de ar condicionado,Mesa em teca no flybridge;
FY670,Sistema de ar condicionado,Chuveiro na popa;
FY670,Sistema de ar condicionado,Lixeira no cockpit;
FY670,Sistema de ar condicionado,Piso em madeira laminada no deck principal;
FY670,Sistema de ar condicionado,Porta copos na mesa do cockpit;
FY670,Sistema de ar condicionado,Tábua de cobertura da pia em madeira;
FY670,Sistema de ar condicionado,Degrau chanfrado no acesso do comando principal para o deck inferior;
FY670,Sistema de ar condicionado,Prateleira adicional no armário da cabine de hospedes;
FY670,Sistema de ar condicionado,Stern thruster;
FY670,Sistema de ar condicionado,Marcador de corrente;
FY670,Sistema de ar condicionado,Filtro Racor;
FY670,Sistema de ar condicionado,Sistema Xenta com DPS;
FY670,Sistema de ar condicionado,Sistema de sombreamento com postes de carbono para a popa do flybridge;
FY670,Sistema de ar condicionado,Degraus em teca nos passadiços;
FY670,Sistema de ar condicionado,Guinchos de amarração;
FY670,Sistema de ar condicionado,Triturador de resíduos na pia da cozinha;
FY670,Sistema de ar condicionado,Luzes embutidas na escada de acesso ao deck inferior;
FY670,Sistema de ar condicionado,Cofre digital;
FY670,Sistema de ar condicionado,Cabine marinheiro com cama retrátil adicional;
FY670,Sistema de ar condicionado,Monitoramento de funções do ar condicionado e gerador;
FY670,Sistema de ar condicionado,CCTV câmera externa colorida;
"FY670,Sistema de ar condicionado,""Sistema central REVERSO para troca de óleo dos motores, inversores e geradores""";
FY670,Sistema de ar condicionado,Pega-mão para a escada de banho (ambos os lados);
FY670,Sistema de ar condicionado,Guarda corpo abrível (ambos os bordos);
FY670,Sistema de ar condicionado,Inversor e carregador de baterias Mastervolt Mass Combi 24V 2.5 kW 60A;
FY670,Sistema de ar condicionado,Luzes de cortesia para a plataforma submergível;
"FY670,Sistema de ar condicionado,""Lift elétrico para a TV 43"" do salão""";
FY670,Sistema de ar condicionado,Joystick nas duas estações de comando -;
FY670,Sistema de ar condicionado,Estação de controle no cockpit (3o comando);
"FY670,Sistema de ar condicionado,""Upgrade de telas Simrad – 3x tela 16” Evo 3 no comando principal, 2x tela 12” no flybridge""";
FY670,Sistema de ar condicionado,AIS transponder Simrad NAIS500 (RX-TX);
FY670,Sistema de ar condicionado,Unidade de controle de piloto automático Simrad;
FY670,Sistema de ar condicionado,Máquina lava-roupas;
FY670,Sistema de ar condicionado,Máquina seca-roupas;
FY670,Sistema de ar condicionado,Domo vazio;
FY670,Sistema de ar condicionado,Geladeira 50l no flybridge;
FY670,Sistema de ar condicionado,Dessalinizador;
FY670,Sistema de ar condicionado,Icemaker no flybridge;
FY670,Sistema de ar condicionado,Cadeiras tipo diretor para o cockpit (2);
FY670,Sistema de ar condicionado,Luzes submergíveis (7);
FY670,Sistema de ar condicionado,Icemaker no cockpit;
FY670,Sistema de ar condicionado,Lava-louças;
FY670,Sistema de ar condicionado,Paredes do banheiro da cabine master revestidas em calacata;
FY670,Sistema de ar condicionado,Pintura cinza no domo vazio;
FY670,Sistema de ar condicionado,Pintura cinza na antena de radar Radome;
FY670,Sistema de ar condicionado,Pintura cinza na buzina;
FY670,Sistema de ar condicionado,Pintura cinza na antena VHF;
"FY720,DECK PRINCIPAL,""Acesso à plataforma de popa (degraus em fibra de vidro e teca, porta de acrílico plexiglass e aço inoxidável)""";
"FY720,DECK PRINCIPAL,""Acesso à área da tripulação (gaiútas em fibra de vidro, degraus em teca)""";
"FY720,DECK PRINCIPAL,""Acesso à sala de máquinas (gaiúta, escada em aço inoxidável com degraus em teca)""";
"FY720,DECK PRINCIPAL,""Acesso ao flybridge (estrutura em fibra de vidro com degraus em teca, corrimão em aço inoxidável)""";
"FY720,DECK PRINCIPAL,""Porta deslizante na popa, com estrutura em aço inoxidável""";
FY720,DECK PRINCIPAL,Área de armazenamento na popa com cobertura (abertura elétrica) (opcional);
FY720,DECK PRINCIPAL,Guincho para amarração;
FY720,DECK PRINCIPAL,Cunhos de amarração de proa em aço inoxidável;
FY720,DECK PRINCIPAL,Púlpito de proa com trilhos laterais;
FY720,DECK PRINCIPAL,Bow thruster (16hp);
"FY720,DECK PRINCIPAL,""Âncora modelo Bruce (50kg, corrente de 100m, diâmetro de 12mm)""";
FY720,DECK PRINCIPAL,Cadeiras do cockpit (4);
FY720,DECK PRINCIPAL,Iluminação indireta no cockpit;
FY720,DECK PRINCIPAL,Mesa do cockpit em teca natural e aço inoxidável;
FY720,DECK PRINCIPAL,Defensas cilíndricas (8) e esféricas (2);
"FY720,DECK PRINCIPAL,""Guinchos de ancoragem elétricos 2700W com controles na proa, comando principal e comando do flybridge""";
"FY720,DECK PRINCIPAL,""Sistema de emergência manual corta combustível (desligamento do motor e gerador, ativação do sistema de extinção de incêndio)""";
FY720,DECK PRINCIPAL,Alarme acústico externo para nível de água de porão;
FY720,DECK PRINCIPAL,Capas para defensas com logotipo Ferretti Yachts;
FY720,DECK PRINCIPAL,Escada de banho manual dobrável;
FY720,DECK PRINCIPAL,Guinchos elétricos com controle com acionamento no piso (2 x 700W) nos postos de amarração de popa;
FY720,DECK PRINCIPAL,Deck em fibra de vidro com superfície antiderrapante;
FY720,DECK PRINCIPAL,Chuveiro de mão com água quente/fria na plataforma de popa;
FY720,DECK PRINCIPAL,Gaiútas (2) na proa;
FY720,DECK PRINCIPAL,Plataforma de banho hidráulica (450kg);
"FY720,DECK PRINCIPAL,""Living na proa (sofá com armazenamento, prateleiras em teca), reversível em almofadas de solário""";
FY720,DECK PRINCIPAL,Suporte para cabos de amarração na proa;
"FY720,DECK PRINCIPAL,""Cabos de amarração (4, com 18m cada)""";
FY720,DECK PRINCIPAL,Posto de amarração (2) com tampas em fibra de vidro e espaço para armazenamento de cabos;
FY720,DECK PRINCIPAL,Trilho para fechamento/capa de cobertura (cockpit);
FY720,DECK PRINCIPAL,Mangueira para a lavagem manual da ancora de proa;
FY720,DECK PRINCIPAL,Cabo para tomada de cais (230V 15m);
FY720,DECK PRINCIPAL,Porta lateral (acesso à cozinha) à Bombordo;
FY720,DECK PRINCIPAL,Pia com água doce quente/fria no posto de amarração;
"FY720,DECK PRINCIPAL,""Cunho de amarração de aço inoxidável: na popa (4), a meia nau (2 para cada lado) e na proa (2)""";
FY720,DECK PRINCIPAL,Passarela de embarque telescópica eletro-hidráulica em aço inox com controle remoto (2) e guarda corpo;
FY720,DECK PRINCIPAL,Passa cabos na popa (2) e proa (2);
FY720,DECK PRINCIPAL,Banco com assentos no cockpit;
FY720,DECK PRINCIPAL,Paiol livre para guardar objetos;
FY720,DECK PRINCIPAL,Piso do cockpit revestido em teca;
FY720,DECK PRINCIPAL,Alto-falantes a prova d’água (2) Salão;
"FY720,Salão,""Porta deslizante de vidro, com estrutura de aço inoxidável""";
FY720,Salão,Ar-condicionado tropicalizado;
FY720,Salão,Armários com prateleiras;
FY720,Salão,Piso parquet (madeira);
"FY720,Salão,""Área de living, com sofás""";
FY720,Salão,Cortinas romanas nas janelas laterais;
FY720,Salão,Cortina padrão na porta de entrada;
FY720,Salão,TV LED 43” ou equivalente Área de jantar;
FY720,Área de jantar,Ar-condicionado tropicalizado;
FY720,Área de jantar,Armário com prateleiras;
FY720,Área de jantar,Cadeiras (8);
FY720,Área de jantar,Mesa de jantar para 8 pessoas;
FY720,Área de jantar,Piso parquet (madeira);
FY720,Área de jantar,Cortinas romanas nas janelas laterais Cozinha;
FY720,Cozinha,Acesso ao deck inferior (degraus de madeira);
FY720,Cozinha,Ar-condicionado tropicalizado;
FY720,Cozinha,Armários com prateleiras e gavetas;
FY720,Cozinha,Cooktop de cerâmica;
FY720,Cozinha,Bancada;
FY720,Cozinha,Forno combinado elétrico/microondas;
FY720,Cozinha,Exaustor/coifa com saída externa (230V);
FY720,Cozinha,Geladeira 198l e freezer 57l 230V-24V;
FY720,Cozinha,Armários superiores;
FY720,Cozinha,Porta lateral (acesso ao passadiço) com janela;
FY720,Cozinha,Pia com cobertura e torneira misturadora retrátil (água doce quente/fria);
"FY720,Cozinha,""Louças em porcelana, copos, talheres de aço inoxidável para 8 pessoas""";
FY720,Cozinha,Piso parquet (madeira) Comando principal;
FY720,Comando principal,Ar-condicionado tropicalizado;
FY720,Comando principal,Controle do piloto automático;
"FY720,Comando principal,""Barômetro, relógio e higrômetro""";
FY720,Comando principal,Tomada (12V);
FY720,Comando principal,Direção eletro-hidráulica;
FY720,Comando principal,Manetes Eletrônicos para motores MAN;
FY720,Comando principal,Contador de corrente digital eletrônico;
FY720,Comando principal,Piso parquet (madeira);
FY720,Comando principal,Sistema de monitoramento integrado (integrado ao sistema de navegação);
FY720,Comando principal,Manual Digital Interativo no Ipad;
FY720,Comando principal,Bússola Magnética;
FY720,Comando principal,Painel elétrico principal;
FY720,Comando principal,Comando principal com instrumentação completa;
FY720,Comando principal,Instrumento de navegação multifunção;
"FY720,Comando principal,""Display touchscreen multifunção para sistema de navegação (GPS, Chartplotter, radar) (3)""";
FY720,Comando principal,Bancos do piloto (2) com movimentação manual;
FY720,Comando principal,Apoio de pés reclinável;
FY720,Comando principal,Janela lateral com abertura elétrica;
FY720,Comando principal,Painel elétrico com alarmes;
FY720,Comando principal,Tomada USB;
FY720,Comando principal,VHF;
FY720,Comando principal,Limpadores de pára-brisa (2) com temporizador;
FY720,Comando principal,Capas protetoras para o para-brisas e janelas FLYBRIDGE;
"FY720,FLYBRIDGE,""Acesso ao cockpit (degraus em teca e aço inoxidável, com corrimão de aço inoxidável)""";
FY720,FLYBRIDGE,Antena radar de banda larga;
FY720,FLYBRIDGE,Gaiúta da escada do cockpit com corrimão de aço inoxidável;
FY720,FLYBRIDGE,Iluminação de cortesia;
"FY720,FLYBRIDGE,""Capa de cobertura para o painel de comando, sofá e banco do piloto""";
FY720,FLYBRIDGE,Painel para equipamentos de navegação diurnos;
FY720,FLYBRIDGE,Móvel completo com armários e pia;
FY720,FLYBRIDGE,Roll bar em fibra de vidro;
FY720,FLYBRIDGE,Coletes salva-vidas (12);
FY720,FLYBRIDGE,Iluminação no flybridge;
FY720,FLYBRIDGE,Luzes de navegação;
FY720,FLYBRIDGE,Defletor frontal e lateral em acrílico;
FY720,FLYBRIDGE,Farol de busca manual com alcance de ½ milha (12v);
FY720,FLYBRIDGE,Sofá com armazenamento (storage);
FY720,FLYBRIDGE,Mastro de radar e de bandeira em aço inoxidável;
FY720,FLYBRIDGE,Guarda-mancebo em aço inoxidável na popa;
FY720,FLYBRIDGE,Solário com estofamento;
FY720,FLYBRIDGE,Mesa em makonil branca dobrável;
FY720,FLYBRIDGE,Antena de tv convencional;
FY720,FLYBRIDGE,Buzina de aviso com compressor;
FY720,FLYBRIDGE,Alto-falantes a prova d’água (2) Comando do Flybridge;
FY720,Comando do Flybridge,Tomada (12V);
FY720,Comando do Flybridge,Direção eletro-hidráulica assistida;
FY720,Comando do Flybridge,Comandos eletrônicos para motores Man;
FY720,Comando do Flybridge,Banco do piloto com espaço para armazenamento abaixo;
"FY720,Comando do Flybridge,""Repetidor touchscreen multifunção do sistema de navegação (GPS, plotter cartográfico, radar)""";
"FY720,Comando do Flybridge,""Segundo comando, equipado com instrumentos e alarmes""";
FY720,Comando do Flybridge,Rádio VHF;
FY720,Comando do Flybridge,Som hi-fi a prova d’água CONVÉS INFERIOR Lobby;
FY720,Lobby,Acesso à área do deck principal através de degraus de madeira;
FY720,Lobby,Carpete;
FY720,Lobby,Espaço para armazenamento embaixo escada Cabine master;
FY720,Cabine master,Armários de cabeceira (2);
FY720,Cabine master,Armários com prateleiras (2);
"FY720,Cabine master,""Cama de casal com colchão, travesseiros e colcha""";
"FY720,Cabine master,""Penteadeira (prateleira, espelho e pufe) com armários e prateleiras""";
FY720,Cabine master,Carpete;
FY720,Cabine master,Janelas do casco com vigia de aço inoxidável com abertura lateral;
FY720,Cabine master,Persiana black out manual;
FY720,Cabine master,Cortina;
FY720,Cabine master,Ventilação natural sob a cama;
FY720,Cabine master,Luzes de leitura (2);
FY720,Cabine master,Sofá;
FY720,Cabine master,Tomada de TV;
FY720,Cabine master,Cabeceira de cama estofada;
"FY720,Cabine master,""Closet com espelho, prateleira, cofre, e armário com prateleiras Banheiro cabine master""";
FY720,Banheiro cabine master,Armário com prateleiras;
FY720,Banheiro cabine master,Sanitário elétrico em cerâmica;
FY720,Banheiro cabine master,Janela do casco com vigia abrível em aço inoxidável;
FY720,Banheiro cabine master,Espelhos (2);
FY720,Banheiro cabine master,Persiana;
FY720,Banheiro cabine master,Chuveiro com porta de vidro temperado e suporte em madeira;
FY720,Banheiro cabine master,Pia (2);
FY720,Banheiro cabine master,Painel de controle do WC com medidor (3/4 e completo);
FY720,Banheiro cabine master,Piso de madeira Cabine VIP de proa;
"FY720,Cabine VIP de proa,""Cama de casal com colchão, travesseiros e colcha""";
FY720,Cabine VIP de proa,Gavetas embaixo da cama;
FY720,Cabine VIP de proa,Gaiúta de emergência com escada dobrável integrada;
FY720,Cabine VIP de proa,Carpete;
FY720,Cabine VIP de proa,Janelas do casco (2) com vigias abríveis de aço inoxidável;
FY720,Cabine VIP de proa,Ventilação natural sob a cama;
FY720,Cabine VIP de proa,Luzes de leitura (2);
FY720,Cabine VIP de proa,Persiana manual com black out;
FY720,Cabine VIP de proa,Cabeceira estofada;
"FY720,Cabine VIP de proa,""Roupeiros (2) (com espelho, cabide, luz) Banheiro da cabine VIP""";
FY720,Banheiro da cabine VIP,Móvel com prateleiras;
FY720,Banheiro da cabine VIP,Sanitário elétrico em cerâmica;
FY720,Banheiro da cabine VIP,Janela do casco com vigia abrível em aço inoxidável;
FY720,Banheiro da cabine VIP,Persiana manual;
FY720,Banheiro da cabine VIP,Espelho;
FY720,Banheiro da cabine VIP,Chuveiro com porta de vidro temperado e suporte em madeira;
FY720,Banheiro da cabine VIP,Pia;
FY720,Banheiro da cabine VIP,Painel de controle do WC com medidor (3/4 e completo);
FY720,Banheiro da cabine VIP,Piso de madeira Cabine de hóspedes (2);
"FY720,Cabine de hóspedes (2),""Camas (2) com colchões, travesseiros e colchas""";
FY720,Cabine de hóspedes (2),Armário de cabeceira com gavetas;
FY720,Cabine de hóspedes (2),Carpete;
FY720,Cabine de hóspedes (2),Janela do casco com vigia abrível em aço inoxidável;
FY720,Cabine de hóspedes (2),Ventilação natural sob as camas;
FY720,Cabine de hóspedes (2),Luzes de leitura (2);
FY720,Cabine de hóspedes (2),Persiana manual;
FY720,Cabine de hóspedes (2),Espaço para armazenamento debaixo da cama;
"FY720,Cabine de hóspedes (2),""Guarda-roupa (com espelho, cabide, luz) Banheiro de hóspedes""";
FY720,Banheiro de hóspedes,Móvel com prateleiras;
FY720,Banheiro de hóspedes,Sanitário elétrico em cerâmica;
FY720,Banheiro de hóspedes,Janela do casco com vigia abrível em aço inoxidável;
FY720,Banheiro de hóspedes,Espelho;
FY720,Banheiro de hóspedes,Persiana manual;
"FY720,Banheiro de hóspedes,""Chuveiro (com porta de vidro temperado, piso de madeira, cortina)""";
FY720,Banheiro de hóspedes,Pia;
FY720,Banheiro de hóspedes,Painel de controle do WC com medidor (3/4 e completo);
FY720,Banheiro de hóspedes,Piso de madeira ÁREA DA TRIPULAÇÃO Banheiro da tripulação;
FY720,Banheiro da tripulação,Sanitário elétrico em cerâmica;
FY720,Banheiro da tripulação,Sistema de ventilação elétrica;
FY720,Banheiro da tripulação,Espelho;
FY720,Banheiro da tripulação,Armários suspensos com prateleiras;
FY720,Banheiro da tripulação,Chuveiro (com piso de madeira);
FY720,Banheiro da tripulação,Vigia em aço inoxidável;
FY720,Banheiro da tripulação,Pia com água doce quente/fria;
FY720,Banheiro da tripulação,Painel de controle do WC com medidor (3/4 e completo) Cabine da tripulação;
"FY720,Cabine da tripulação,""Cama com colchão, travesseiro e colcha (2)""";
FY720,Cabine da tripulação,Armário de cabeceira;
FY720,Cabine da tripulação,Armários com prateleiras;
FY720,Cabine da tripulação,Cortina;
FY720,Cabine da tripulação,Carpete;
FY720,Cabine da tripulação,Luzes de leitura (2);
FY720,Cabine da tripulação,Vigia abrível de aço inoxidável;
FY720,Cabine da tripulação,Guarda-roupa Corredor na área da tripulação;
FY720,Corredor na área da tripulação,Acesso à casa de máquinas (porta estanque);
FY720,Corredor na área da tripulação,Acesso à área do convés principal (degraus de teca);
FY720,Corredor na área da tripulação,Armários com prateleiras;
FY720,Corredor na área da tripulação,Máquina seca-roupas;
FY720,Corredor na área da tripulação,Máquina lava-roupas;
FY720,Corredor na área da tripulação,Quadro elétrico principal ÁREA TÉCNICA;
FY720,ÁREA TÉCNICA,Sala de máquinas;
FY720,ÁREA TÉCNICA,Acesso à área da tripulação (porta estanque);
"FY720,ÁREA TÉCNICA,""Acesso ao cockpit (gaiúta, escada de teca e aço inoxidável)""";
FY720,ÁREA TÉCNICA,Entradas de ar com separador (2);
FY720,ÁREA TÉCNICA,Válvulas (2) para bombeamento de emergência de água do porão;
FY720,ÁREA TÉCNICA,Bomba de esgoto elétrica;
FY720,ÁREA TÉCNICA,Sistema de ventilação elétrico (2);
FY720,ÁREA TÉCNICA,Sistema de extinção de incêndio FM200 com controle automático/manual;
FY720,ÁREA TÉCNICA,Torneira de água doce;
"FY720,ÁREA TÉCNICA,""Gerador 21,5kW""";
